id,keyword,place,tweet,lemmatized_tweet,disaster
148,aftershock,"SÌ£o Vicente, SÌ£o Paulo",bxckylynch foi no ROH Aftershock Las Vegas procura no pirate bay que tem,bxckylynch foi no ROH Aftershock Las Vegas procura no pirate bay que tem,0
150,aftershock,"Vault 101, Fallout",Scholboy ÛÒ Aftershock Original Mix Excision amp Skism ÛÒ SEXisM Far To Loud Remix Firebeatz Schela ÛÒ Dear New htptcoJQLzUAYzQ,Scholboy ÛÒ Aftershock Original Mix Excision amp Skism ÛÒ SEXisM Far To Loud Remix Firebeatz Schela ÛÒ Dear New htptcoJQLzUAYzQ,0
152,aftershock,Switzerland, IR ICEMON AFTERSHOCK htptcoTHyzOMVWU djicemon Dubstep TrapMusic DnB EDM Dance IcesÛ htptcojOxk,IR ICEMON AFTERSHOCK htptcoTHyzOMVWU djicemon Dubstep TrapMusic DnB EDM Dance IcesÛ htptcojOxk,0
154,aftershock,California,When the aftershock hapened Nepal we were the last intl team stil there in a way we were st responders Chief Colins LACoFD,When the aftershock hapened Nepal we be the last intl team stil there in a way we be st responder Chief Colins LACoFD,0
155,aftershock,Europe, IR ICEMON AFTERSHOCK htptcogRPeFyAWG djicemon Dubstep TrapMusic DnB EDM Dance IcesÛ htptcoGmvzTvE,IR ICEMON AFTERSHOCK htptcogRPeFyAWG djicemon Dubstep TrapMusic DnB EDM Dance IcesÛ htptcoGmvzTvE,0
166,aftershock,304,Stop saying I Wish and start saying I Wil ÛÒ Unknown,Stop say I Wish and start say I Wil ÛÒ Unknown,0
167,aftershock,"Davis, CA",I want to go to Aftershock in October because it has al the bands I listen to and NXT Cant aford it yet though gradscholaps,I want to go to Aftershock in October because it have al the band I listen to and NXT Cant aford it yet though gradscholaps,0
169,aftershock,"Detroit, MI",We are stil living in the aftershock of Hiroshima people are stil the scars of history Edward Bond htptcoengTlwrGp,We be stil living in the aftershock of Hiroshima people be stil the scar of history Edward Bond htptcoengTlwrGp,1
177,aftershock,Switzerland, IR ICEMON AFTERSHOCK htptcoTHyzOMVWU djicemon Dubstep TrapMusic DnB EDM Dance IcesÛ htptcojOxk,IR ICEMON AFTERSHOCK htptcoTHyzOMVWU djicemon Dubstep TrapMusic DnB EDM Dance IcesÛ htptcojOxk,0
179,aftershock,unknown,Aftershock htpstcoEcyUnO,Aftershock htpstcoEcyUnO,0
181,aftershock,304,There is no victory at bargain basement prices Dwight David Eisenhower,There be no victory at bargain basement price Dwight David Eisenhower,0
186,aftershock,United Kingdom,Bo had by far the best competitive maps imo hope bo is the same InVahnWeTrust,Bo have by far the best competitive map imo hope bo be the same InVahnWeTrust,0
188,aftershock,"London, England",Bras and Coper in Cataclysm amp AfterShock htptcouxYZyaygTy,Bras and Coper in Cataclysm amp AfterShock htptcouxYZyaygTy,0
189,aftershock,In your hearts and minds,JadeForMKX You should be hapy I dont use Aftershock That variation counters your play style hard,JadeForMKX You should be hapy I dont use Aftershock That variation counter your play style hard,0
192,aftershock,Runcorn,Aftershock htpstcoNhqmoEf,Aftershock htpstcoNhqmoEf,0
200,airplane%20accident,"Lake Charles, LA",When carelesnes leads to an aviation acident the victim has the right to sek compensation for damages htptcoeqAGrzvO,When carelesnes lead to an aviation acident the victim have the right to sek compensation for damage htptcoeqAGrzvO,1
202,airplane%20accident,"California, USA",rewindmusic found out about you guys todayregarding the acident on the airplane lol amp became a fan Sending love amp suport from Cali,rewindmusic found out about you guy todayregarding the acident on the airplane lol amp become a fan Sending love amp suport from Cali,0
206,airplane%20accident,unknown,A girl who died in an airplane acident fiften years ago,A girl who die in an airplane acident fiften year ago,1
207,airplane%20accident,unknown,Mintechan Hihow are you There is Keio line on the stationright BTW do you know the airplane acident near Chofu airport this wek,Mintechan Hihow be you There be Keio line on the stationright BTW do you know the airplane acident near Chofu airport this wek,1
214,airplane%20accident,"Eagle Pass, Texas",Mexican airplane acident in Ocampo Coahuila MX on  kiled Coahuila government SubSecretariat Francisco Garcia Castels age ,Mexican airplane acident in Ocampo Coahuila MX on kiled Coahuila government SubSecretariat Francisco Garcia Castels age,1
217,airplane%20accident,unknown,Horible Acident Man Died In Wings of AirplaneåÊ htptcoZRKZdhODe,Horible Acident Man Died In Wings of AirplaneåÊ htptcoZRKZdhODe,1
223,airplane%20accident,inland empire ca,god if an acident were to hapen on this airplane idc if the rest of my lugage is completely destroyed just please save my makeup,god if an acident be to hapen on this airplane idc if the rest of my lugage be completely destroyed just please save my makeup,0
224,airplane%20accident,Muscat,Horible Acident Man Died In Wings of Airplane  htptcohGukRRq,Horible Acident Man Died In Wings of Airplane htptcohGukRRq,1
227,airplane%20accident,unknown,UPDATE Picture from the Pen Twp airplane acident htptcoJfgDnZRlC,UPDATE Picture from the Pen Twp airplane acident htptcoJfgDnZRlC,1
228,airplane%20accident,New York,Se how a judge ruled in this  acident at JFK Airport involving Korean Air htptcoYhcGlNrl htptcoFShPKjOB,Se how a judge rule in this acident at JFK Airport involve Korean Air htptcoYhcGlNrl htptcoFShPKjOB,1
230,airplane%20accident,#BlackLivesMatter,thugIauren I had myself on airplane mode by acident ,thugIauren I have myself on airplane mode by acident,1
233,airplane%20accident,USA - Global Online Sales , years ago today basebal lost one of its greats in an airplane acident RIP Captain Yankes yankes htptcoiNKUvjJj,year ago today basebal lose one of it great in an airplane acident RIP Captain Yankes yankes htptcoiNKUvjJj,1
234,airplane%20accident,unknown,Experts in France begin examining airplane debris found on Reunion Island French air acident experts on Wedn htptcomiwipQxz,Experts in France begin examine airplane debris found on Reunion Island French air acident expert on Wedn htptcomiwipQxz,1
236,airplane%20accident,unknown,BreakingNews Experts in France begin examining airplane debris found on Reunion Island French air acident e htptcoXIcUvlvlJ,BreakingNews Experts in France begin examine airplane debris found on Reunion Island French air acident e htptcoXIcUvlvlJ,1
239,airplane%20accident,France,Experts in France begin examining airplane debris found on Reunion Island French air acident experts on Wedn htptcoKuBsMOuD,Experts in France begin examine airplane debris found on Reunion Island French air acident expert on Wedn htptcoKuBsMOuD,1
250,ambulance,"Istanbul, TÌ_rkiye",Twelve feared kiled in Pakistani air ambulance helicopter crash htptcozdsugUjS,Twelve fear kiled in Pakistani air ambulance helicopter crash htptcozdsugUjS,1
255,ambulance,High in Prague with Aya,htptcoQXTkaKM IM DYING SEND AN AMBULANCE MBely brightasastar,htptcoQXTkaKM IM DYING SEND AN AMBULANCE MBely brightasastar,0
257,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF  LEZ COMPLIANT eBay htptcoXPDbTZ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF LEZ COMPLIANT eBay htptcoXPDbTZ,0
259,ambulance,born on september 1st,disneyxrowbrina the ambulance isnt even parked wel like its nearly on top of someones car Im laughing,disneyxrowbrina the ambulance isnt even park wel like it nearly on top of someone car Im laugh,0
275,ambulance,"Atlanta, GA",Shot  times Found dead in cufs after being involved in a car acident Oficers told ambulance not to treat him htpstcoMEUDJwaNg,Shot time Found dead in cufs after be involve in a car acident Oficers told ambulance not to treat him htpstcoMEUDJwaNg,1
278,ambulance,USA ,margaretcho Cal me a fag and Im going to cal you an ambulance RainbowPower,margaretcho Cal me a fag and Im go to cal you an ambulance RainbowPower,0
282,ambulance,Worldwide,New Nanotech Device Wil Be Able To Target And Destroy Blod Clots htptcoMnmyJXQgo science,New Nanotech Device Wil Be Able To Target And Destroy Blod Clots htptcoMnmyJXQgo science,0
284,ambulance,everywhere,vbalplaya want me to send you some medic suplies from my dads ambulance,vbalplaya want me to send you some medic suplies from my dad ambulance,0
286,ambulance,World, held with heroin in ambulance htptcodsOwiG htptcoOPxmdPIwAu,held with heroin in ambulance htptcodsOwiG htptcoOPxmdPIwAu,0
288,ambulance,unknown,htptcoBFaSrttN Twelve feared kiled in Pakistani air ambulance helicopter crash htptcoOBJXnEPQm,htptcoBFaSrttN Twelve fear kiled in Pakistani air ambulance helicopter crash htptcoOBJXnEPQm,1
292,ambulance,"West Chester, PA",Why should a helicopter ambulance ride to transfer to a hospital  miles away cost  htptcoZqIreYTe htptcoQpPqPwZv,Why should a helicopter ambulance ride to transfer to a hospital mile away cost htptcoZqIreYTe htptcoQpPqPwZv,1
295,ambulance,"Chorley, Lancashire, UK",so privileged and proud to wear this uniform NHS Ambulance GayUK Uniform Proud Privileged WhatsYourEmergency htptcoBkmuhYSFx,so privileged and proud to wear this uniform NHS Ambulance GayUK Uniform Proud Privileged WhatsYourEmergency htptcoBkmuhYSFx,0
300,annihilated,unknown,The bartender at work described a drunk man as anihilated kduning hsnowberger gabrielasmith  more days,The bartender at work described a drunk man a anihilated kduning hsnowberger gabrielasmith more day,0
304,annihilated,San Diego,Cop puls drunk driver to safety SECONDS before his car is hit by train htptcocTLxzIHxAåÊ htptcokDOZTDmv via ViralSpel,Cop pul drunk driver to safety SECONDS before his car be hit by train htptcocTLxzIHxAåÊ htptcokDOZTDmv via ViralSpel,1
305,annihilated,New Orleans,Cop puls drunk driver to safety SECONDS before his car is hit by train htptcocSscHcsXnåÊ htptcojBlGyLCsAy via ViralSpel,Cop pul drunk driver to safety SECONDS before his car be hit by train htptcocSscHcsXnåÊ htptcojBlGyLCsAy via ViralSpel,1
306,annihilated,"eileenborut,webster, tx",RosieGray Now in al sincerety do you think the UN would move to Israel if there was a fraction of a chance of being anihilated,RosieGray Now in al sincerety do you think the UN would move to Israel if there be a fraction of a chance of be anihilated,0
308,annihilated,unknown,johnboywest The only stage the drama quen can stand on is a drama stage amp certainly never the world stage he would be anihilated,johnboywest The only stage the drama quen can stand on be a drama stage amp certainly never the world stage he would be anihilated,0
311,annihilated,unknown,drodrolagi handplacementgoals Bro we anihilated that hashtag this wek,drodrolagi handplacementgoals Bro we anihilated that hashtag this wek,0
317,annihilated,unknown,How do I step outside for  seconds and get anihilated by mosquitoes,How do I step outside for second and get anihilated by mosquito,0
319,annihilated,unknown,jacksfilms yiayplan wel first we strike dreamworks and the minions wil be anihilated,jacksfilms yiayplan wel first we strike dreamworks and the minion wil be anihilated,0
323,annihilated,unknown,If your nature apropriates it love wil burn you until you become anihilated in your beloved htpstcosMlwjunD,If your nature apropriates it love wil burn you until you become anihilated in your beloved htpstcosMlwjunD,0
324,annihilated,unknown,NinaHoag if you shred my Psych work our friendship would be anihilated,NinaHoag if you shred my Psych work our friendship would be anihilated,0
325,annihilated,upstate NY,thehil this is  example of y the Conservatives anihilated Burton v Wimington Prkng Auth while Liberals stod by amphave done nothing,thehil this be example of y the Conservatives anihilated Burton v Wimington Prkng Auth while Liberals stod by amphave do nothing,0
326,annihilated,unknown,Aug  ÛÓKAISERJAEGERS WIPED OUT Francis Josephs Crack Regiment Anihilated on Carso Plateau htptcoDsPSwlH,Aug ÛÓKAISERJAEGERS WIPED OUT Francis Josephs Crack Regiment Anihilated on Carso Plateau htptcoDsPSwlH,0
333,annihilated,unknown,They should al die Al of them Everything anihilated,They should al die Al of them Everything anihilated,0
339,annihilated,unknown,BRO HE JUST GOT ANIHILATED htpstcoURQkqGwf,BRO HE JUST GOT ANIHILATED htpstcoURQkqGwf,0
342,annihilated,"Salem, MA",AlbertBrer he was probably anihilated neded his D,AlbertBrer he be probably anihilated neded his D,0
343,annihilated,"Chicago, Illinois",GMCR no longe rGren mountain now Red Mountainstock anihilated after hours,GMCR no longe rGren mountain now Red Mountainstock anihilated after hour,0
350,annihilation,unknown,Please sign amp RT to save SaltRiverWildHorses htptcoGBispiaRP htptcoBxliNc,Please sign amp RT to save SaltRiverWildHorses htptcoGBispiaRP htptcoBxliNc,0
351,annihilation,unknown,Alied Plans for the Anihilation of the German People htptcoRUHxGloq htptcoHbUpkzWdWq Louis Nizer Very interesting,Alied Plans for the Anihilation of the German People htptcoRUHxGloq htptcoHbUpkzWdWq Louis Nizer Very interest,0
357,annihilation,"Yeezy Taught Me , NV",Please share and sign this petition to save wild horses in Arizona htptcotsSXPHuFE,Please share and sign this petition to save wild horse in Arizona htptcotsSXPHuFE,0
359,annihilation,Colorado,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcolATVrRZCK via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcolATVrRZCK via Change,1
362,annihilation,United States,NEW Are souls punished with anihilation htptcocmNVVyFCQ,NEW Are soul punish with anihilation htptcocmNVVyFCQ,0
366,annihilation,High Desert,Latest Updates on the Salt River Wild Horse Roundup htpstcoWJsCdvCevH via Change,Latest Updates on the Salt River Wild Horse Roundup htpstcoWJsCdvCevH via Change,1
367,annihilation,"Plovdiv, Bulgaria",US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoWRhtuey via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoWRhtuey via Change,1
369,annihilation,California,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoZhXuakmae via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoZhXuakmae via Change,1
373,annihilation,"Rhode Island, USA",BosTenAuthFest Out of the Silent Planet in print and Anihilation on audio,BosTenAuthFest Out of the Silent Planet in print and Anihilation on audio,0
374,annihilation,unknown,RT SIGN URGENT Stop the Anihilation of the Salt River Wild Horses savewildhorses saltriverhorses htpstcoAZjFeSi,RT SIGN URGENT Stop the Anihilation of the Salt River Wild Horses savewildhorses saltriverhorses htpstcoAZjFeSi,1
376,annihilation,unknown,jackienatalydlt I do I only get the iced anihilation,jackienatalydlt I do I only get the iced anihilation,0
377,annihilation,U.S.A.,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcodwlcPS via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcodwlcPS via Change,1
378,annihilation,Arizona,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoKAlDycTCH via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoKAlDycTCH via Change,1
379,annihilation,"Wayne, NJ",INCIndia under Sonia Gandhi is like Pakistan Every defeat is treated like a victoryTotal anihilation only answer htptcoKtTYiTOw,INCIndia under Sonia Gandhi be like Pakistan Every defeat be treat like a victoryTotal anihilation only answer htptcoKtTYiTOw,0
382,annihilation,Chicago,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htptcoTrKgtpWJm via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htptcoTrKgtpWJm via Change,1
385,annihilation,unknown,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htptcokqfnBzs via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htptcokqfnBzs via Change,1
387,annihilation,unknown,Stop the Anihilation of the Salt River Wild Horses htpstcoutTXzAm via Change,Stop the Anihilation of the Salt River Wild Horses htpstcoutTXzAm via Change,1
388,annihilation,Az,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoFLcQeZnVW via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoFLcQeZnVW via Change,1
391,annihilation,"Wheeler,Wis.",US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoFaXDzIdY via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoFaXDzIdY via Change,1
392,annihilation,unknown,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstconVeOjWS via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstconVeOjWS via Change,1
395,annihilation,unknown,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoizkchg via Change,US National Park Services Tonto National Forest Stop the Anihilation of the Salt River Wild Horse htpstcoizkchg via Change,1
399,apocalypse,"Spring Lake Park, MN",spherulitic that almost fels like the SI signs of the apocalypse Lol,spherulitic that almost fels like the SI sign of the apocalypse Lol,0
400,apocalypse,unknown,I liked a YouTube video from teamtwistz htptcoOCurjyDRcn FUTURISTIC HOUSE Built To Survive The Apocalypse Minecraft,I like a YouTube video from teamtwistz htptcoOCurjyDRcn FUTURISTIC HOUSE Built To Survive The Apocalypse Minecraft,0
403,apocalypse,"Memphis, TN",I liked a YouTube video htptcojrFjgaAcF Minecraft NIGHT LUCKY BLOCK MOD BOB APOCALYPSE WITHER  amp MORE Mod Showcase,I like a YouTube video htptcojrFjgaAcF Minecraft NIGHT LUCKY BLOCK MOD BOB APOCALYPSE WITHER amp MORE Mod Showcase,0
405,apocalypse,"DMZ, AZ",thomasa Just ONE of my major reasons not to live in Big City If Rs mis  meals ever comes to pas Cue ANY Apocalypse script,thomasa Just ONE of my major reason not to live in Big City If Rs mi meal ever come to pa Cue ANY Apocalypse script,0
408,apocalypse,unknown,AskConor theres a zombie apocalypse the item to your right is your weapon youre either screwed or youre gona live,AskConor there a zombie apocalypse the item to your right be your weapon youre either screw or youre gona live,0
411,apocalypse,Instagram:marissatunis,Its an apocalypse,Its an apocalypse,0
414,apocalypse,"Akron, Ohio ",ItsKingRifYal Im excited for apocalypse realy dig how the xmen franchise is going I like the event theme a lot,ItsKingRifYal Im excite for apocalypse realy dig how the xmen franchise be go I like the event theme a lot,0
416,apocalypse,ColoRADo,TMFKCO sounds like a terible time Il be right there,TMFKCO sound like a terible time Il be right there,0
417,apocalypse,unknown,Apocalypse no Why artists should not go into the Fukushima exclusion zone htptcozqLqbLUw nuclear ura,Apocalypse no Why artist should not go into the Fukushima exclusion zone htptcozqLqbLUw nuclear ura,1
422,apocalypse,unknown,Southern Preper FictionSharecroping the Apocalypse htpstcoHsleABSYr Apocalyptic domsday preper bok reading,Southern Preper FictionSharecroping the Apocalypse htpstcoHsleABSYr Apocalyptic domsday preper bok reading,0
425,apocalypse,Currently Somewhere On Earth,SOStag honestly he could say an apocalypse is coming and i would be exited hes so enthusiastic about everything,SOStag honestly he could say an apocalypse be come and i would be exit he so enthusiastic about everything,0
428,apocalypse,unknown,Also my other nephew is prof that fat babies are going to save us from the apocalypse htptcoNVImOqhBG,Also my other nephew be prof that fat baby be go to save u from the apocalypse htptcoNVImOqhBG,0
430,apocalypse,unknown,I liked a YouTube video htptcoumSxRzot Zombie Apocalypse The Rescue,I like a YouTube video htptcoumSxRzot Zombie Apocalypse The Rescue,0
431,apocalypse,unknown,I aded a video to a YouTube playlist htptcoOCurjyDRcn FUTURISTIC HOUSE Built To Survive The Apocalypse Minecraft Maps,I aded a video to a YouTube playlist htptcoOCurjyDRcn FUTURISTIC HOUSE Built To Survive The Apocalypse Minecraft Maps,0
433,apocalypse,"Irvine, CA",LIVE NOW Princes of the Apocalypse DampD Encounters merkat htptcoYESFVlt,LIVE NOW Princes of the Apocalypse DampD Encounters merkat htptcoYESFVlt,0
434,apocalypse,Somewhere in the Internet...,I liked a YouTube video htptcoeGPNEPzT Minecraft NIGHT LUCKY BLOCK MOD BOB APOCALYPSE WITHER  amp MORE Mod Showcase,I like a YouTube video htptcoeGPNEPzT Minecraft NIGHT LUCKY BLOCK MOD BOB APOCALYPSE WITHER amp MORE Mod Showcase,0
439,apocalypse,Arlington,OMg zombie apocalypse among my students ,OMg zombie apocalypse among my student,0
441,apocalypse,unknown,I liked a YouTube video htptcouJrIaIVqln Minecraft NIGHT LUCKY BLOCK MOD BOB APOCALYPSE WITHER  amp MORE Mod Showcase,I like a YouTube video htptcouJrIaIVqln Minecraft NIGHT LUCKY BLOCK MOD BOB APOCALYPSE WITHER amp MORE Mod Showcase,0
449,armageddon,1996???????????,UNIVERSAL ORDER OF ARMAGEDON htptcotYmGm,UNIVERSAL ORDER OF ARMAGEDON htptcotYmGm,0
458,armageddon,Northwest,Patent Pending Stream Armagedon EP htptcoBOuaJqiLf,Patent Pending Stream Armagedon EP htptcoBOuaJqiLf,0
460,armageddon,Phuket,ARMAGEDON LONDON htptcoCULUOwIUc,ARMAGEDON LONDON htptcoCULUOwIUc,0
464,armageddon,unknown,hitchBOT I heard you might rise from the ashes of Armagedon go hitchbot like the true superstar you are,hitchBOT I heard you might rise from the ash of Armagedon go hitchbot like the true superstar you be,0
473,armageddon,unknown,Turkey invades Israel Halfway to Armagedon htptcoxUOhsJNXF,Turkey invades Israel Halfway to Armagedon htptcoxUOhsJNXF,1
488,armageddon,West Covina CA,Remember to crowd around the bagage carousel like its armagedon and the bags are the last remaining fod items on earth you animals,Remember to crowd around the bagage carousel like it armagedon and the bag be the last remain fod item on earth you animal,0
491,armageddon,unknown,Never compromise not even in the face of armagedon Watchmen,Never compromise not even in the face of armagedon Watchmen,0
